Thickness_m,Fiber_Orientation,Air_Velocity,Pressure_Drop_Pa,Capture_Efficiency
0.00495959595959596,0.3666666666666667,2.5,57.529278946864174,0.98
0.00495959595959596,0.3666666666666667,3.0,69.03513473623701,0.98
0.00495959595959596,0.3666666666666667,3.5,80.54099052560984,0.98
0.00495959595959596,0.4555555555555556,2.0,49.40035964524638,0.98
0.00495959595959596,0.4555555555555556,2.5,61.750449556557975,0.98
0.00495959595959596,0.4555555555555556,3.0,74.10053946786958,0.98
0.00495959595959596,0.4555555555555556,3.5,86.45062937918117,0.98
0.00495959595959596,0.5444444444444445,2.0,53.312097516789194,0.98
0.00495959595959596,0.5444444444444445,2.5,66.6401218959865,0.98
0.00495959595959596,0.5444444444444445,3.0,79.9681462751838,0.98
0.00495959595959596,0.5444444444444445,3.5,93.29617065438109,0.98
0.00495959595959596,0.6333333333333333,2.0,57.89660552640236,0.98
0.00495959595959596,0.6333333333333333,2.5,72.37075690800295,0.98
0.00495959595959596,0.6333333333333333,3.0,86.84490828960354,0.98
0.00495959595959596,0.6333333333333333,3.5,101.31905967120412,0.98
0.00495959595959596,0.7222222222222222,2.0,63.343775280738704,0.98
0.00495959595959596,0.7222222222222222,2.5,79.17971910092338,0.98
0.00495959595959596,0.7222222222222222,3.0,95.01566292110806,0.98
0.00495959595959596,0.7222222222222222,3.5,110.85160674129273,0.98
0.00495959595959596,0.8111111111111111,2.0,69.92238364431014,0.98
0.00495959595959596,0.8111111111111111,2.5,87.40297955538769,0.98
0.00495959595959596,0.8111111111111111,3.0,104.88357546646523,0.98
0.00495959595959596,0.8111111111111111,3.5,122.36417137754276,0.98
0.00495959595959596,0.9,2.0,78.02580344953228,0.98
0.00495959595959596,0.9,2.5,97.53225431191534,0.98
0.00495959595959596,0.9,3.0,117.03870517429841,0.98
0.00495959595959596,0.9,3.5,136.54515603668148,0.98
0.005454545454545455,0.1,2.0,42.00266867784417,0.98
0.005454545454545455,0.1,2.5,52.503335847305216,0.98
0.005454545454545455,0.1,3.0,63.004003016766255,0.98
0.005454545454545455,0.1,3.5,73.5046701862273,0.98
0.005454545454545455,0.18888888888888888,2.0,44.528575235934476,0.98
0.005454545454545455,0.18888888888888888,2.5,55.660719044918096,0.98
0.005454545454545455,0.18888888888888888,3.0,66.79286285390171,0.98
0.005454545454545455,0.18888888888888888,3.5,77.92500666288534,0.98
0.005454545454545455,0.2777777777777778,2.0,47.377720256229416,0.98
0.005454545454545455,0.2777777777777778,2.5,59.222150320286765,0.98
0.005454545454545455,0.2777777777777778,3.0,71.06658038434412,0.98
0.005454545454545455,0.2777777777777778,3.5,82.91101044840148,0.98
0.005454545454545455,0.3666666666666667,2.0,50.61639206730209,0.98
0.005454545454545455,0.3666666666666667,2.5,63.27049008412761,0.98
0.005454545454545455,0.3666666666666667,3.0,75.92458810095313,0.98
0.005454545454545455,0.3666666666666667,3.5,88.57868611777866,0.98
0.005454545454545455,0.4555555555555556,2.0,54.330334436727185,0.98
0.005454545454545455,0.4555555555555556,2.5,67.91291804590898,0.98
0.005454545454545455,0.4555555555555556,3.0,81.49550165509078,0.98
0.005454545454545455,0.4555555555555556,3.5,95.07808526427259,0.98
0.005454545454545455,0.5444444444444445,2.0,58.63244940746674,0.98
0.005454545454545455,0.5444444444444445,2.5,73.29056175933343,0.98
0.005454545454545455,0.5444444444444445,3.0,87.9486741112001,0.98
0.005454545454545455,0.5444444444444445,3.5,102.6067864630668,0.98
0.005454545454545455,0.6333333333333333,2.0,63.674474509688956,0.98
0.005454545454545455,0.6333333333333333,2.5,79.5930931371112,0.98
