Thickness_m,Fiber_Curvature,Air_Velocity_ms,Pressure_Drop_Pa,Efficiency_Percentage,Safety_Status,Pleated_Pressure_Pa,score_eff,score_thin,score_safety,Hero_Score
0.006,0.9,2.5,38.48013874317439,98.00069556732124,PASS,12.826712914391464,0.531863305833756,0.9687499697265635,0.7770087543403952,0.7592073433002383
0.007,0.1,2.5,21.639406336923912,98.00670687157248,PASS,7.213135445641304,0.9513738875769335,0.9374999707031259,0.9386566923865576,0.9425101835555388
0.007,0.2,2.5,23.358062361542125,98.0056293093495,PASS,7.786020787180708,0.8761741079397832,0.9374999707031259,0.9221599512776593,0.9119446766401894
0.007,0.3,2.5,25.497918783034805,98.00115640743364,PASS,8.499306261011602,0.5640239311426875,0.9374999707031259,0.9016202639348007,0.8010480552602046
0.007,0.4,2.5,27.1883833614594,97.9979717984149,PASS,9.0627944538198,0.3417797847405251,0.9374999707031259,0.8853941220515066,0.7215579591650525
0.007,0.5,2.5,29.245643418341857,97.99817822927822,PASS,9.748547806113953,0.3561859648215482,0.9374999707031259,0.8656472465476623,0.7197777273574455
0.007,0.6,2.5,32.3603167314936,98.00146837873226,PASS,10.7867722438312,0.5857954561727624,0.9374999707031259,0.8357506537740892,0.7863486935499925
0.007,0.7000000000000001,2.5,36.17775998717808,98.00567511729476,PASS,12.05925332905936,0.8793709046680017,0.9374999707031259,0.799108433233812,0.8719931028683132
0.007,0.8,2.5,40.19026347377586,98.00704421642152,PASS,13.39675449125862,0.9749161552705621,0.9374999707031259,0.7605939019554196,0.8910033426430358
0.007,0.9,2.5,45.09894114865736,98.00090958985967,PASS,15.032980382885787,0.5467992857559704,0.9374999707031259,0.7134773273589772,0.7325921946060244
0.008,0.1,2.5,24.938022794514268,98.0074036500318,PASS,8.312674264838089,0.9999999302130512,0.9062499716796883,0.9069944976605899,0.9377481331844431
0.008,0.2,2.5,26.92717319364307,98.003856839636,PASS,8.975724397881024,0.7524788548704339,0.9062499716796883,0.8879013814750057,0.8488767360083759
0.008,0.3,2.5,29.295133658546437,97.99892113369722,PASS,9.765044552848812,0.4080309974415541,0.9062499716796883,0.8651722081057767,0.7264843924090064
0.008,0.4,2.5,31.222260606312503,97.9965876709978,PASS,10.407420202104168,0.24518575561046255,0.9062499716796883,0.8466744320028823,0.6660367197643444
0.008,0.5,2.5,33.57320286390731,97.99785083975186,PASS,11.191067621302437,0.3333384487217718,0.9062499716796883,0.824108610087397,0.6878990101629524
0.008,0.6,2.5,37.09329998375733,98.00169044056716,PASS,12.36443332791911,0.6012924740661021,0.9062499716796883,0.7903205047117189,0.7659543168191698
0.008,0.7000000000000001,2.5,41.47380014820065,98.00590767686596,PASS,13.824600049400217,0.8956005275464354,0.9062499716796883,0.7482737099458139,0.8500414030573126
0.008,0.8,2.5,46.18352169533692,98.00710866048531,PASS,15.394507231778974,0.9794135098483543,0.9062499716796883,0.7030668413547784,0.862910107627607
0.008,0.9,2.5,51.76955497254312,98.0009381400576,FAIL,17.25651832418104,0.5487917169555575,0.9062499716796883,0.6494485818079139,0.7014967568143865
0.009,0.1,2.5,28.27565830464961,98.00647200081744,PASS,9.425219434883203,0.9349829742306711,0.8749999726562507,0.8749577735355284,0.8949802401408168
0.009,0.2,2.5,30.519032186884147,98.00153508414223,PASS,10.173010728961382,0.5904506232007012,0.8749999726562507,0.8534244605190926,0.7729583521253481
0.009,0.3,2.5,33.11016255732362,97.9968635262578,PASS,11.036720852441206,0.26443685250441756,0.8749999726562507,0.828553162081094,0.6559966624139207
0.009,0.4,2.5,35.27662173893715,97.99564691247228,PASS,11.75887391297905,0.17953308859759567,0.8749999726562507,0.8077581247204253,0.6207637286580906
0.009,0.5,2.5,37.92200361339383,97.99788505918814,PASS,12.640667871131276,0.33572651876744913,0.8749999726562507,0.7823660862368791,0.6643641925535263
0.009,0.6,2.5,41.84047782244292,98.00205562643856,PASS,13.946825940814307,0.6267776817604146,0.8749999726562507,0.7447541070841933,0.7488439205002863
0.009,0.7000000000000001,2.5,46.77417833096023,98.00609482578976,PASS,15.591392776986744,0.908661079901579,0.8749999726562507,0.6973973475977042,0.8270194667185112
0.009,0.8,2.5,52.1818196781723,98.00703116093952,FAIL,17.393939892724102,0.974005053017205,0.8749999726562507,0.6454914059567358,0.8314988105433972
0.009,0.9,2.5,58.46692045049197,98.00080348746296,FAIL,19.488973483497322,0.5393947232335042,0.8749999726562507,0.5851630570613675,0.6665192509837075
0.01,0.1,2.5,31.63388418315793,98.00449747123542,PASS,10.544628061052643,0.7971865794715309,0.8437499736328132,0.842723410108873,0.8278866544044057
0.01,0.2,2.5,34.11567353804905,97.99906916522266,PASS,11.371891179349683,0.41836166592193264,0.8437499736328132,0.8189016354849755,0.693671091679907
0.01,0.3,2.5,36.92579116674048,97.99519504206911,PASS,12.30859705558016,0.14799843192691042,0.8437499736328132,0.7919283596566307,0.5945589217387848
0.01,0.4,2.5,39.33548038163791,97.99521057523248,PASS,13.111826793879302,0.14908244400259646,0.8437499736328132,0.7687986475085014,0.5872103550479704
0.01,0.5,2.5,42.277667989773605,97.99826207899524,PASS,14.092555996591202,0.36203758072616155,0.8437499736328132,0.7405576809800156,0.6487817451129968
0.01,0.6,2.5,46.58863230134894,98.00252818460142,PASS,15.529544100449646,0.6597560740562496,0.8437499736328132,0.6991783350497812,0.7342281275796146
0.01,0.7000000000000001,2.5,52.06519431365743,98.00621879884012,FAIL,17.355064771219144,0.9173127808145864,0.8437499736328132,0.6466108495321657,0.8025578679931885
0.01,0.8,2.5,58.168815696010725,98.00681888982577,FAIL,19.389605232003575,0.9591912996791342,0.8437499736328132,0.5880244539247108,0.7969885757455527
0.01,0.9,2.5,65.17079143710927,98.00052894913183,FAIL,21.723597145703092,0.5202355307873612,0.8437499736328132,0.5208150883523596,0.6282668642575113
0.011,0.1,2.5,34.99750097349575,98.00199174692833,PASS,11.665833657831916,0.6223197256529468,0.8124999746093757,0.810437301321006,0.7484190005277762
0.011,0.2,2.5,37.70271704620762,97.99678606891034,PASS,12.567572348735872,0.25903134056646887,0.8124999746093757,0.7844709365825634,0.6186674172528027
0.011,0.3,2.5,40.72854602026972,97.99405913943924,PASS,13.576182006756573,0.06872725330333349,0.8124999746093757,0.755427127635398,0.545551451849369
